time,filtered_x,filtered_y,gt_x,gt_y,position_error,yaw_error_rad
24.3331487,0.0016228021840507363,-1.605673282151094e-07,0.0017557585454603952,0.00021070212828044887,0.000249279903800222,4.844572704500234e-05
24.37,0.0016261228941025735,-1.6092828934595606e-07,0.0017577695048087705,0.0002107072560311174,0.00024858845763437587,4.123272021243598e-05
24.4,0.001628220783465562,-1.6114849816492204e-07,0.0017597806669504834,0.00021071238419745342,0.00024854707750061373,3.865543682400922e-05
24.44,0.0016309448057208664,-1.6144793487795082e-07,0.0017624625319800913,0.0002107192223976817,0.0002485308219121043,3.4870271812536085e-05
24.47,0.0016329590650607329,-1.6167264954530546e-07,0.0017644741674196496,0.0002107243515321322,0.00024853397623590906,3.236232171142848e-05
24.5,0.001634968069107995,-1.6188753261325429e-07,0.0017664860057466925,0.00021072948108136202,0.0002485400108907538,3.1446491165645736e-05
24.534770093,0.0016372957365977058,-1.621419520111734e-07,0.0017691687725056582,0.0002107363211263369,0.00024873411372063433,3.0082334976680957e-05
24.565008176,0.0016393205068681465,-1.6235957609539542e-07,0.0017711810843517029,0.00021074145164412528,0.0002487320435358328,2.9575289175586726e-05
24.6,0.0016416631622779218,-1.626144517905498e-07,0.0017731935991820436,0.0002107465825758048,0.00024856175333911327,2.883594883465912e-05
24.635489206,0.001644039446562928,-1.6287211588728014e-07,0.0017758772680895873,0.0002107534244633058,0.0002487305677788265,2.8342811862003373e-05
24.67,0.0016463512464036946,-1.6312110306092433e-07,0.001777890256659198,0.00021075855636309981,0.00024857687994690205,2.8165014058422817e-05
24.7,0.001648360132517331,-1.6333903134187328e-07,0.0017799034483072518,0.00021076368867678497,0.0002485836980712768,2.7899549844724654e-05
24.737153377,0.0016508487655604747,-1.6360811420483677e-07,0.0017799034483072518,0.00021076368867678497,0.0002472760313302233,2.7716989762562088e-05
24.7673368,0.001652871251086698,-1.638263620758379e-07,0.001784601685395515,0.00021077566568639128,0.0002486933385293117,2.7668537782962907e-05
24.8,0.0016550593885550561,-1.6406297937727041e-07,0.0017866155541783613,0.00021078079938074978,0.00024860563080839385,2.7577372388148933e-05
24.83788133,0.0016575976854863847,-1.6433722664882718e-07,0.0017893010286522681,0.00021078764495019442,0.00024868958439269154,2.7511374064582137e-05
24.87,0.001659750660094118,-1.6456964711239229e-07,0.0017913153716184738,0.00021079277961044696,0.0002486207483784546,2.750046412075747e-05
24.9,0.0016617609457168121,-1.6478691681946297e-07,0.0017933299178523043,0.00021079791468459064,0.0002486275445234408,2.7471830677647973e-05
24.938684714,0.0016643539944583847,-1.650670230449405e-07,0.0017960162957439962,0.00021080476209345278,0.000248682991732984,2.745060093467374e-05
24.969140855,0.001666396169832562,-1.6528755983000613e-07,0.0017980313163823425,0.00021080989813260231,0.0002486731605645018,2.7440157017248248e-05
25.01,0.0016691357128287084,-1.6558350019499632e-07,0.0018000465403851251,0.0002108150345851989,0.00024829511871803025,2.7433369400845422e-05
25.04,0.0016711469807080155,-1.6580080653682553e-07,0.0018027338221138223,0.0002108218838312581,0.0002486581989397786,2.7435917811957007e-05
25.07,0.0016731585845284605,-1.6601812938209785e-07,0.0018054214654981138,0.00021082873381361722,0.00024902259943603613,2.7448770558948868e-05
