time,filtered_x,filtered_y,gt_x,gt_y,position_error,yaw_error_rad
24.36,0.0016249802538444698,-1.6068399457966783e-07,0.0017577695048087705,0.0002107072560311174,0.0002491952513639475,0.0001350526670345517
24.39,0.001627361641617802,-1.6099992980426496e-07,0.0017597806669504834,0.00021071238419745342,0.0002490027758948468,0.00017494292221630387
24.43,0.001631278145009715,-1.6117029255500763e-07,0.0017597806669504834,0.00021071238419745342,0.0002469424105502905,0.00017164394153922392
24.46,0.0016331154799225694,-1.6144352522391022e-07,0.0017644741674196496,0.0002107243515321322,0.00024845104817232866,0.00013505263466405314
24.49,0.0016345765171822718,-1.617379791774093e-07,0.0017644741674196496,0.0002107243515321322,0.0002476819377479194,0.0001896749182189591
24.52,0.0016372252852831775,-1.6187393642036227e-07,0.0017664860057466925,0.00021072948108136202,0.0002473529815384955,0.00013504040902383703
24.55,0.0016386973742430703,-1.6215729983604107e-07,0.0017691687725056582,0.0002107363211263369,0.00024799385872853734,3.864305865373447e-05
24.586258608,0.001642640902282822,-1.6230861200056462e-07,0.0017711810843517029,0.00021074145164412528,0.00024698780232326143,0.0001644044964536178
24.616490389,0.0016432122775514558,-1.6259393553683792e-07,0.0017731935991820436,0.0002107465825758048,0.0002477454837318464,0.00022345413424732408
24.66,0.0016457571355760238,-1.6289836250075203e-07,0.0017758772680895873,0.0002107534244633058,0.0002478244219597963,0.0001350401729550367
24.687045768,0.0016472577477445105,-1.630408217466001e-07,0.001777890256659198,0.00021075855636309981,0.00024809831225615494,0.00016253196229651886
24.72,0.0016499675013553858,-1.6325577121639297e-07,0.0017799034483072518,0.00021076368867678497,0.0002477368083358797,0.0002611675210891799
24.75,0.0016519304538406894,-1.6360928006414464e-07,0.0017832592190831775,0.00021077224345322776,0.0002484777224389292,9.460871696905086e-05
24.787876796,0.0016532459173391146,-1.6373567440063844e-07,0.001784601685395515,0.00021077566568639128,0.00024849500769258143,0.00018586440702811086
24.818122516,0.001655892426194393,-1.6403196904351358e-07,0.0017866155541783613,0.00021078079938074978,0.00024816578745489004,0.0001462835419781261
24.85,0.0016579811518699142,-1.6433495208639813e-07,0.0017893010286522681,0.00021078764495019442,0.000248486715666703,0.00020788922731356297
24.888693031,0.0016611730643398509,-1.6446325961121683e-07,0.0017933299178523043,0.00021079791468459064,0.0002489388656642115,0.00016972089031797936
24.92,0.001663557746345608,-1.64757008382854e-07,0.0017933299178523043,0.00021079791468459064,0.00024768137868116117,0.0001350404333691026
24.95,0.0016656806546313954,-1.6492236027916537e-07,0.0017960162957439962,0.00021080476209345278,0.0002479830379335246,0.00011782422004158309
24.989451829,0.0016696667351976703,-1.6522553338349094e-07,0.0018000465403851251,0.0002108150345851989,0.0002480152490481651,0.0001737900799996616
25.019696856,0.0016705600016479016,-1.6549065592630642e-07,0.0018000465403851251,0.0002108150345851989,0.0002475470576378713,0.00013739554253281767
25.05,0.001672640501976525,-1.6564932465034535e-07,0.0018027338221138223,0.0002108218838312581,0.00024787095653093543,0.00018815211292644234
25.090334291,0.0016747404627009215,-1.6607527531118895e-07,0.0018067654228310914,0.00021083215907946595,0.00024889926676912173,0.0001558769437904223
25.120550003,0.001677459073526874,-1.6622856322824825e-07,0.0018067654228310914,0.00021083215907946595,0.00024746808189785,0.00013617373142564784
25.150747268,0.0016786713492268662,-1.6650733831812933e-07,0.0018094536088231195,0.00021083901016272222,0.0002482485203198271,0.00010915682235377433
25.191033832,0.0016812642231183394,-1.6679838863844104e-07,0.0018134865662498,0.00021084928816517134,0.00024901914947983157,0.0002838342982395813
25.22,0.0016834072943568248,-1.669262426579113e-07,0.0018134865662498,0.00021084928816517134,0.00024788799833638087,0.0001350403314980807
25.26,0.0016860097066015917,-1.671518861620073e-07,0.0018161756569252674,0.00021085614108384831,0.0002479395184305487,0.00041717877771598605
25.29,0.0016876124929203072,-1.6751440643111708e-07,0.0018181927124851782,0.00021086128125480386,0.0002481619357190808,0.00019444923700919842
25.32,0.0016875736432892497,-1.6762657079568626e-07,0.0018202099716946307,0.00021086642183876236,0.00024925441861878354,0.00013504056140917732
25.35,0.0016911074795634689,-1.679469529380777e-07,0.0018228999674780866,0.00021087327659152777,0.00024881249547775903,0.0001551662024369648
25.382355824,0.0016932848228462592,-1.680966006867916e-07,0.001824917701979345,0.0002108784181378276,0.0002487324792867621,0.0001102965300488038
25.43,0.0016940226123589907,-1.6842617784601824e-07,0.0018269356402260684,0.0002108835600962422,0.0002494169478745029,0.00017797486167175003
25.45,0.0016981280061707463,-1.6868459819699033e-07,0.0018296265415393975,0.00021089041668220787,0.0002486720913922441,0.00023781709993690047
25.48,0.0017010049819184316,-1.6883866221460436e-07,0.0018316449552999714,0.0002108955596029638,0.00024822365491663215,0.00013504499084784444
25.51,0.0017040408727622962,-1.689955896573158e-07,0.001833663572899269,0.00021090070293539043,0.0002476942914688469,0.00024289730179159318
25.55,0.0017075181696069837,-1.6925281172082807e-07,0.001833663572899269,0.00021090070293539043,0.0002458926371221001,0.00010746041772023272
25.57,0.00170718168614081,-1.6956359175577838e-07,0.0018383744735031016,0.00021091270564710385,0.0002485302231981331,0.00018392424125249573
25.603939521,0.0017094301709314134,-1.69707043902431e-07,0.0018403937707747176,0.0002109178503530984,0.00024841381075083003,0.00014623756312053045
25.64,0.001710683045278487,-1.6998063680049116e-07,0.0018437597194935762,0.000210926425777469,0.000249541768089367,0.00013505273441787534
25.67,0.0017111330809421869,-1.70118678924063e-07,0.0018451062576492205,0.0002109298562675832,0.0002500240218446821,0.00015340376889134698
25.7,0.0017144621870194942,-1.7043156125232717e-07,0.0018471262349093465,0.00021093500234536933,0.00024932960880614245,0.00013504883119622236
25.736176111,0.0017178429212715285,-1.7070104678389786e-07,0.0018471262349093465,0.00021093500234536933,0.0002475475574306283,0.00021011865460443606
25.766503889,0.001720852925293503,-1.7089093538118314e-07,0.0018518403087961488,0.00021094701146129324,0.0002484521349259067,0.00021660325756061013
25.81,0.0017270488196215528,-1.7115099112762874e-07,0.0018538609663627525,0.00021095215891087093,0.00024628108442405173,0.00014384267465932974
25.83711804,0.0017264975910219432,-1.7147749013386074e-07,0.0018565554940304096,0.00021095902281631496,0.0002479740839172736,0.00010101929227736937
25.867345857,0.0017288701692056141,-1.7161006939255337e-07,0.0018585766280017069,0.00021096417122512534,0.00024779443818671355,0.00017567725711447306
25.91,0.001729941243209884,-1.7203073171917694e-07,0.0018605979661936445,0.00021096932004516233,0.0002482979042777874,0.0001622714500537137
25.93787952,0.001731514701384834,-1.7216019041351585e-07,0.0018632934015085922,0.00021097618577758936,0.00024889606226561885,0.0002155696275159431
25.97,0.001733935796562082,-1.723101903155355e-07,0.001865315216327268,0.00021098133555597087,0.00024868939271666807,0.00010995083833878215
26.0,0.0017353912809685993,-1.7260759120102522e-07,0.0018673372354625073,0.000210986485745579,0.00024899377021548035,0.0001350492409241872
26.038592169,0.0017385290566144886,-1.7275920253618092e-07,0.0018700335788484068,0.00021099335330321267,0.0002487660877988832,0.0003960894146385033
26.07,0.001740327488130107,-1.7318317669541903e-07,0.0018720560748315407,0.00021099850445027712,0.0002488893372757877,0.00011273076984313034
26.1,0.0017427970477681904,-1.7335782860102628e-07,0.0018740787752271615,0.0002110036560081241,0.0002486576424275111,0.00013504898000852412
26.139378871,0.001745922272368983,-1.7359543933327273e-07,0.0018767760271094502,0.00021101052539096443,0.000248437996330159,0.00019653825923636047
26.17,0.0017527885041272993,-1.736303446428923e-07,0.0018787992045758983,0.00021101567790582365,0.0002459260469060915,9.430046865225852e-05
26.21,0.0017498738988109155,-1.7402283205704364e-07,0.0018808225865498684,0.00021102083083190948,0.00024849713285005526,8.976058768086576e-05
26.240355146,0.0017522727857945545,-1.7435565054916325e-07,0.0018835207473522075,0.00021102770203684784,0.00024866108779708526,0.00013541535426999136
26.270557762,0.0017541793157567214,-1.7464677711131808e-07,0.001885544606620826,0.00021103285591905774,0.0002487276599796714,0.00019295756119999276
26.300753614,0.0017576046910722947,-1.7479407137879289e-07,0.0018875686704911132,0.00021103801021160606,0.0002479949286567319,0.00013476136251571122
26.35,0.0017600630659932923,-1.751252756966149e-07,0.001890267740638052,0.00021104488323908654,0.0002481272844657209,0.000240708858973059
26.371222164,0.0017604286083156265,-1.7536252376013552e-07,0.0018922922820259203,0.00021105003848731485,0.0002490064225610742,0.00016546413263719692
26.4,0.0017619011435256742,-1.754983870064607e-07,0.0018943170281113808,0.0002110551941454375,0.0002493037744566878,0.0001350492846632273
26.44,0.0017651528771706643,-1.7581417836347883e-07,0.0018943170281113808,0.0002110551941454375,0.0002475922389044654,0.0001350333206562221
26.47,0.0017670773289617252,-1.7610311934682538e-07,0.0018990422318534428,0.00021106722560704227,0.00024907524872340436,0.00024279651824569705
26.5,0.0017695261407623592,-1.7624077505488853e-07,0.0019010676604729326,0.00021107238263029515,0.0002488556856863483,0.00013504903142064965
26.532351044,0.0017717502131639447,-1.7654065864947108e-07,0.0019037685505836066,0.0002110792592975308,0.00024911413936221555,0.00026998386838026505
26.58,0.0017739770824045241,-1.7682141142174093e-07,0.0019057944571656549,0.00021108441727513139,0.00024901231146329527,0.00013504500326189377
26.6,0.0017748950808858539,-1.7697977287354937e-07,0.0019078205686362537,0.00021108957566218223,0.00024960517370254006,0.0001350490651944203
26.633350851,0.0017775160476212514,-1.7724615601085905e-07,0.001910522369364287,0.0002110964541475191,0.0002496542770784384,0.00022685493298224983
26.67,0.0017811846653657008,-1.7741502558784792e-07,0.0019125489590230416,0.00021110161348891765,0.00024878787257043956,0.00013859495421990347
26.7,0.0017829104891825683,-1.7770068689334843e-07,0.0019145757536653818,0.00021110677323887828,0.00024895154306294083,0.00013504864431485743
26.74,0.001785642858539441,-1.7801000193324896e-07,0.0019172784654371,0.0002111136535414282,0.0002489419612806087,0.00013504879034527623
26.764323859,0.0017869876083803206,-1.781508946052162e-07,0.0019193057384896406,0.00021111881424484835,0.00024930803242729745,0.00014305498201915235
26.8,0.0017900880876028397,-1.7844772148326234e-07,0.00192133321662169,0.00021112397535683058,0.0002487448449514913,0.00013504885399298494
26.834863463,0.0017922204878884976,-1.7874222889716068e-07,0.002174485144670335,0.00021387067730227471,0.00043811348053463,0.00011695742617800189
26.86508861,0.0031721709497863713,-3.453509116215456e-07,0.004512407879860625,0.00019566794360814654,0.0013544948284742004,0.00015540636051242346
26.9,0.007368353034576893,-9.92346728255895e-07,0.007470904746002205,0.0002017807354985912,0.0002272306678070462,0.00013512192331235348
26.935719832,0.011054660923073561,-1.4542423837276607e-06,0.01165020567257713,0.00017752076043153764,0.000621856575340321,0.0001609385437153288
26.965971736,0.014143094426358018,-1.8628030110312252e-06,0.014888591682559849,1.8190423852537663e-05,0.0007457669146000638,0.00010658695893031192
27.0,0.01754107103802048,-2.17893686999776e-06,0.018034612819454843,-3.476652377099043e-05,0.0004946164583204173,0.0001350530578999699
27.036464313,0.02111832016046471,-2.0896892928349206e-06,0.022030126257589266,-8.596504080227163e-05,0.0009156557395355237,5.8184880527693453e-05
27.066703346,0.02415257414927997,-1.4473983227398673e-06,0.022030126257589266,-8.596504080227163e-05,0.002124130006575071,0.00026994071797250933
27.096924062,0.02719787922447703,-1.405584281791559e-06,0.02814619230435156,5.48063301546442e-05,0.0009499776190972743,0.00018299547780560626
27.14,0.031489159588453115,-1.1391640604027581e-06,0.03235756641180565,-8.436382473098192e-05,0.0008723856687205334,0.00013504764907642592
27.167442281,0.0342806932415077,-6.171283892172888e-07,0.03559355116487506,-0.00021059661684441622,0.0013295440242881654,2.145092996824448e-05
27.197647257,0.037293307326282624,1.6161765847375748e-07,0.03885700244940793,-0.00036451539405213396,0.001605656177690617,0.0004960951199350708
27.24,0.04155272980842137,1.8301426407603158e-06,0.043058189933971924,-0.00044584154458382486,0.0015706113870608488,0.0001350548882996353
27.268236367,0.04432898645562649,3.688276145440011e-06,0.04614159890555225,-0.00043900629836723937,0.0018658891660355483,0.00016566651073414895
27.3,0.04752422506933965,6.232919601698558e-06,0.04922676250660274,-0.00037010151716199147,0.0017436345183485605,0.00018327280861018147
27.338794316,0.05149366395219846,9.979594716897123e-06,0.053234609296700874,-0.00031704206545279945,0.0017713931971092053,0.0001653153334744311
27.369096402,0.05440190284869079,1.3038328570331937e-05,0.05660869307463212,-0.00033645518716740597,0.002234293807638759,-0.00010720974581208986
27.4,0.05759407742030023,1.505273429240428e-05,0.059975493404470726,-0.00038602399687093225,0.0024149543751266576,0.00013511192352744185
27.45,0.06256728928779003,2.0150522852167413e-05,0.06434749667804418,-0.00040157071534885347,0.001829477290120134,0.0003067931624185969
27.470304399,0.06598852415284644,2.229069070441383e-05,0.06885064288639242,-0.00039946405968471765,0.0028930262208266746,0.00031666034893565714
27.500552024,0.07211464246064267,2.9018287544689006e-05,0.07487064487437234,-0.0004094125011606664,0.0027906577828477218,0.00013802900314570054
27.54,0.08018412128804499,3.683464753005039e-05,0.08338020205066332,-0.00042714188078551985,0.0032295830164290186,0.0001350428703896624
27.57,0.08617823477853383,3.99838593823357e-05,0.08991029585193733,-0.0004565911527443234,0.003764952403189485,3.0069373886595918e-05
27.6,0.09205223739030083,4.602303527358977e-05,0.09646869235725752,-0.0004898971095443905,0.004448852085288765,0.0001350425161543464
